TitelMedium;MedienArt;Untertitel;Jahr;Verlag;Ort;ISBN;Reihe;Band;HeftThema;Jahrgang;Monat;HeftNR;Sonderheft;Nachname;Vorname;Alias;Firma;Zusatz;NameAnleitung;Seitenzahl;Grundschnitt;ModelNR;Schnittbogen
Anna;Zeitschrift;;;;;;;;;2010;12;50;false;;;;anna;;Wende-Mantel;54;false;;
anna;Zeitschrift;;;;;;;;;2011;4;;false;;;;anna;;Biscoru;25;;21;
Burda;Zeitschrift;;;;;;;;accessoires;2018;5;34;false;;;;burda;;Cozy Home;11;false;;
Burda Patchwork;Zeitschrift;;;;;;;;Best of;2018;;Herbst;false;;;;burda;;Nähetui;17;;;
Das große Buch der Handarbeiten;Buch;X;;Gruner & Jahr;Hamburg;;Das große Buch der Handarbeiten;10;;;;;;Bär;Sigrid;;;;Khakifarbene Bundfaltenhose;345;false;42;E
Designer Knitting;Zeitschrift;;;;;;;;;2019;2;;false;;;;Desingner Knitting deutsch;;Hexagon-Tuch;8;false;;
English Paper Peircing;Buch;Muster aus geometrischen Fromen;2011;Christopherus;Feiburg;978-3-8410-6081-5;;;;;;;;Schmidt;Claudia;;;;Nadelkissen;69;false;;CD
Geschenke für Mutti selbstgemacht;Buch;;;;;;;;;;;;false;;;;Ravensburg;;Handarbeitskörbchen;9;;9;
Jabanisch Quilten;Buch;40 Projekte in edlem Blau;;;;;;;;;;;false;Ogg;Nanny;;;;Nähetui;73;;F;
Jabanisch Quilten;Buch;40 Projekte in edlem Blau;;;;;;;;;;;false;Ogg;Nanny;;;;Tasche für Nähutensilien;77;;H;
Jabanisch Quilten;Buch;40 Projekte in edlem Blau;;;;;;;;;;;false;Ogg;Nanny;;;;Etuit für Boutis-Nadeln;77;;;
Japanische Hansschuhe stricken;Buch;50 neue Projekte vom Strick-Sensei;2019;Stiebner;Grünwald;978-3-8307-0999-2;;;;;;;;Kestler;Bernd;Strick-Sensei;;;Einfache Windrad-Fäustlige;52;true;2;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Taschen;2010;3;;false;;;;OZ-Verlag;;Traveller‘s Friend;26;false;;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Trendige Taschen;2015;;43;false;;;;Lena;;Endlich Pausen-Zeit;10;false;4;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Trendige Taschen;2015;;43;false;;;;Lena;;Für alle Fälle;12;false;5;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Trendige Taschen;2015;;43;false;;;;Lena;;Freie Fahrt;40;false;13;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Trendige Taschen;2015;;43;false;;;;Lena;;Viel-Falt;48;false;15;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Taschen;2013;;43;false;;;;Lena;;Für Dich;60;false;19;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Trendige Taschen;;;43;false;;;;Lena;;Dekorativer Stauraum;26;;9;
Lena‘s Patchwork;Zeitschrift;;;;;;;;Taschen;2010;3;;false;;;;Lena;;Alles in Ordnung?;30;;;
Nähstoff;Zeitschrift;;;;;;;;;;;1;false;;;;cravty;;Fadenkörbchen & Nadelkissen;62;;;
Nähstoff;Zeitschrift;;;;;;;;;;;1;false;;;;cravty;;Projekttasche & Nadelrolle;64;;;
Nähstoff;Zeitschrift;;;;;;;;;;;1;false;;;;cravty;;Projekttasche & Nadelrolle;64;;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Little Noah;42;false;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Little Noah;42;false;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Immer den Durchblick behalten;46;false;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Für mein Nähzimmer;28;;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Für mein Nähzimmer;28;;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Für mein Nähzimmer;29;;;
Patchwork & Nähen;Zeitschrift;;;;;;;;Die 100 besten Ideen;2020;1;;false;;;;P&N;;Stern;34;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Brotzeitköfferchen;60;false;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Spaß mit Patchwork;2018;3;;true;;;;P&N;;Tea-rific;40;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Spaß mit Patchwork;2019;3;;true;;;;P&N;;Nählady;52;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Ordentlich kreativ;12;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Ordentlich kreativ;12;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Stitch in Time;14;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Stitch in Time;14;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Stitch in Time;16;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Mein kleines Nähzimmer;20;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Mein kleines Nähzimmer;20;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Mein kleines Nähzimmer;20;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Mein kleines Nähzimmer;20;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;Schöne Aussichten;38;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2019;5;;true;;;;P&N;;2 in 1- Alles dabei;46;;;
Patchwork & Nähen Spezial;Zeitschrift;;;;;;;;Ordnungshelden;2020;5;;true;;;;P&N;;Ordnung muss sein;49;;;
Patchwork Magazin;Zeitschrift;;;;;;;;Taschen selber machen;2010;;25;true;;;;OZ-Verlag;;Technik trifft Tradition;36;false;;
Patchwork Magazin;Zeitschrift;;;;;;;;;2019;2;;false;;;;OZ-Verlag;;Hexagon, Raute & Co;2;;;
Patchwork Magazin;Zeitschrift;;;;;;;;;2019;2;;false;;;;OZ-Verlag;;Hexagon, Raute & Co;2;;;
Patchwork Magazin;Zeitschrift;;;;;;;;Taschen;2019;2;;false;;;;OZ-Verlag;;Stricknadelordnung;95;;;
Patchwork Magazin;Zeitschrift;;;;;;;;;2020;2;;false;;;;OZ-Verlag;;Utensilo „To Go“;11;;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2010;3;;false;;;;OZ-Verlag;;Ein Ball für den Ball;54;false;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2008;3;;false;;;;OZ-Verlag;;Kimikos Tasche;20;false;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2009;3;;false;;;;OZ-Verlag;;Flechttasche;48;false;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2011;4;;false;;;;OZ-Verlag;;Monstertasche;16;false;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2011;4;;false;;;;cravty;;Unter der Haube…;48;;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2012;4;;false;;;;cravty;;Unter der Haube…;49;;;
Patchwork Spezial;Zeitschrift;;;;;;;;Taschen;2008;3;;false;;;;cravty;;Gut erpackt;55;;;
Patchwork Spezial;Zeitschrift;;;;;;;;Spielereien;2012;1;;false;;;;cravty;;My Sewing Box;18;;;
Patchwork Spezial;Zeitschrift;;;;;;;;Spielereien;2012;1;;false;;;;cravty;;Ordnungshelfer;23;;;
